D:\data\IMG\center_2020_04_10_17_14_53_236.jpg, D:\data\IMG\left_2020_04_10_17_14_53_236.jpg, D:\data\IMG\right_2020_04_10_17_14_53_236.jpg, 0, 0, 0, 3.325063E-05
D:\data\IMG\center_2020_04_10_17_14_53_399.jpg, D:\data\IMG\left_2020_04_10_17_14_53_399.jpg, D:\data\IMG\right_2020_04_10_17_14_53_399.jpg, 0, 0, 0, 3.288146E-05
D:\data\IMG\center_2020_04_10_17_14_53_498.jpg, D:\data\IMG\left_2020_04_10_17_14_53_498.jpg, D:\data\IMG\right_2020_04_10_17_14_53_498.jpg, 0, 0, 0, 3.66754E-05
D:\data\IMG\center_2020_04_10_17_14_53_599.jpg, D:\data\IMG\left_2020_04_10_17_14_53_599.jpg, D:\data\IMG\right_2020_04_10_17_14_53_599.jpg, 0, 0, 0, 3.392505E-05
D:\data\IMG\center_2020_04_10_17_14_53_701.jpg, D:\data\IMG\left_2020_04_10_17_14_53_701.jpg, D:\data\IMG\right_2020_04_10_17_14_53_701.jpg, 0, 0, 0, 3.279397E-05
D:\data\IMG\center_2020_04_10_17_14_53_804.jpg, D:\data\IMG\left_2020_04_10_17_14_53_804.jpg, D:\data\IMG\right_2020_04_10_17_14_53_804.jpg, 0, 0, 0, 3.336986E-05
D:\data\IMG\center_2020_04_10_17_14_53_905.jpg, D:\data\IMG\left_2020_04_10_17_14_53_905.jpg, D:\data\IMG\right_2020_04_10_17_14_53_905.jpg, 0, 0, 0, 3.332213E-05
D:\data\IMG\center_2020_04_10_17_14_54_007.jpg, D:\data\IMG\left_2020_04_10_17_14_54_007.jpg, D:\data\IMG\right_2020_04_10_17_14_54_007.jpg, 0, 0, 0, 3.327981E-05
D:\data\IMG\center_2020_04_10_17_14_54_108.jpg, D:\data\IMG\left_2020_04_10_17_14_54_108.jpg, D:\data\IMG\right_2020_04_10_17_14_54_108.jpg, 0, 0, 0, 4.159133E-05
D:\data\IMG\center_2020_04_10_17_14_54_211.jpg, D:\data\IMG\left_2020_04_10_17_14_54_211.jpg, D:\data\IMG\right_2020_04_10_17_14_54_211.jpg, 0, 0, 0, 3.328737E-05
D:\data\IMG\center_2020_04_10_17_14_54_313.jpg, D:\data\IMG\left_2020_04_10_17_14_54_313.jpg, D:\data\IMG\right_2020_04_10_17_14_54_313.jpg, 0, 0, 0, 3.453032E-05
